event_id,team_id,event_date,actor_type,actor_email,is_golden_path,artifact_type,environment,source_system,status
evt_001,team_001,2024-01-05,service_principal,svc-platform@company.com,true,pipeline,dev,databricks,success
evt_002,team_001,2024-01-08,service_principal,svc-platform@company.com,true,pipeline,staging,databricks,success
evt_003,team_001,2024-01-10,service_principal,svc-platform@company.com,true,pipeline,prod,databricks,success
evt_004,team_002,2024-01-06,human,alice.chen@company.com,false,notebook,dev,databricks,success
evt_005,team_002,2024-01-09,service_principal,svc-data@company.com,true,dlt_pipeline,dev,databricks,success
evt_006,team_002,2024-01-12,service_principal,svc-data@company.com,true,dlt_pipeline,staging,databricks,success
evt_007,team_002,2024-01-14,human,bob.kumar@company.com,false,notebook,prod,databricks,failed
evt_008,team_003,2024-01-15,human,carol.martinez@company.com,false,notebook,dev,databricks,success
evt_009,team_003,2024-01-18,human,carol.martinez@company.com,false,job,dev,databricks,success
evt_010,team_003,2024-01-20,human,dave.wilson@company.com,true,pipeline,staging,databricks,failed
evt_011,team_004,2024-01-17,human,eve.johnson@company.com,false,sql_query,dev,databricks,success
evt_012,team_004,2024-01-19,human,frank.lee@company.com,false,notebook,dev,databricks,success
evt_013,team_004,2024-01-22,human,eve.johnson@company.com,true,sql_query,staging,databricks,success
evt_014,team_005,2024-01-25,service_principal,svc-devops@company.com,true,pipeline,dev,databricks,success
evt_015,team_005,2024-01-27,service_principal,svc-devops@company.com,true,pipeline,staging,databricks,success
evt_016,team_001,2024-01-30,service_principal,svc-platform@company.com,true,job,prod,databricks,success
evt_017,team_001,2024-02-02,service_principal,svc-platform@company.com,true,dlt_pipeline,dev,databricks,success
evt_018,team_002,2024-02-04,service_principal,svc-data@company.com,true,dlt_pipeline,prod,databricks,success
evt_019,team_002,2024-02-06,human,alice.chen@company.com,false,notebook,dev,databricks,success
evt_020,team_003,2024-02-08,human,dave.wilson@company.com,false,job,dev,databricks,failed
evt_021,team_003,2024-02-10,service_principal,svc-ml@company.com,true,pipeline,staging,databricks,success
evt_022,team_004,2024-02-12,human,frank.lee@company.com,false,notebook,dev,databricks,success
evt_023,team_004,2024-02-14,human,eve.johnson@company.com,true,sql_query,prod,databricks,success
evt_024,team_005,2024-02-16,service_principal,svc-devops@company.com,true,pipeline,prod,databricks,success
evt_025,team_005,2024-02-18,service_principal,svc-devops@company.com,true,job,dev,databricks,success
evt_026,team_001,2024-02-20,service_principal,svc-platform@company.com,true,pipeline,staging,databricks,success
evt_027,team_001,2024-02-22,human,grace.park@company.com,false,notebook,dev,databricks,success
evt_028,team_002,2024-02-24,service_principal,svc-data@company.com,true,pipeline,prod,databricks,success
evt_029,team_002,2024-02-26,human,bob.kumar@company.com,true,dlt_pipeline,staging,databricks,success
evt_030,team_003,2024-02-28,human,carol.martinez@company.com,false,notebook,dev,databricks,success
evt_031,team_004,2024-03-01,human,frank.lee@company.com,false,notebook,dev,databricks,success
evt_032,team_005,2024-03-03,service_principal,svc-devops@company.com,true,job,staging,databricks,success
evt_033,team_001,2024-03-05,service_principal,svc-platform@company.com,true,pipeline,prod,databricks,success
evt_034,team_002,2024-03-07,service_principal,svc-data@company.com,true,dlt_pipeline,dev,databricks,success
evt_035,team_002,2024-03-09,human,alice.chen@company.com,false,notebook,staging,databricks,failed
evt_036,team_003,2024-03-11,human,dave.wilson@company.com,true,pipeline,prod,databricks,success
evt_037,team_004,2024-03-13,human,eve.johnson@company.com,false,sql_query,dev,databricks,success
evt_038,team_005,2024-03-15,service_principal,svc-devops@company.com,true,pipeline,prod,databricks,success
evt_039,team_001,2024-03-18,service_principal,svc-platform@company.com,true,job,staging,databricks,success
evt_040,team_003,2024-03-20,human,carol.martinez@company.com,false,notebook,dev,databricks,success
